trading_name,x_coordinate,y_coordinate,block_id,clue_small_area,property_id,type
Bonnie and Duke Cafe Port Melbourne,144.9050213,-37.82653298,790,Port Melbourne,589450,restaurant
No 1 Delicious,144.9617628,-37.80816923,105,Melbourne (CBD),104080,restaurant
Quanjude Restaurant ,144.9586601,-37.81145082,83,Melbourne (CBD),105456,restaurant
Haymarket Place,144.9589985,-37.80052523,240,Carlton,101052,restaurant
Cafe Vic,144.9682264,-37.82094188,752,Southbank,108653,restaurant
Medici Cafe Bar Restaurant,144.942139,-37.81434525,1109,Docklands,560004,restaurant
IGG International Buffet and Bar,144.9429888,-37.81938143,1108,Docklands,604119,restaurant
Seasons Provedore,144.9666591,-37.80096704,246,Carlton,106112,restaurant
Restaurant 1903,144.9548831,-37.81970047,21,Melbourne (CBD),108970,restaurant
Dee Casa,144.9635826,-37.82348388,811,Southbank,110362,restaurant
RMB Cafe,144.9654844,-37.81710105,15,Melbourne (CBD),103943,restaurant
Grill'd,144.9717262,-37.81546152,17,Melbourne (CBD),103592,restaurant
Hakata Genuke,144.9681879,-37.8122734,57,Melbourne (CBD),108585,restaurant
Cafenatics On Church ,144.9574732,-37.81753383,32,Melbourne (CBD),102117,restaurant
Fandango,144.9494062,-37.80260762,346,North Melbourne,103424,restaurant
Stuzzichino,144.9664569,-37.80171819,246,Carlton,106101,restaurant
Healthy Nibbles Cafe,144.9707149,-37.81005686,68,Melbourne (CBD),105672,restaurant
The Curtin,144.9656988,-37.80619915,266,Carlton,106081,restaurant
Salt Seafood and Burger Bar,144.9490316,-37.80470159,345,North Melbourne,103395,restaurant
Basement Espresso,144.9778946,-37.80895362,646,East Melbourne,109660,restaurant
Cafe Alcaston,144.9735468,-37.81304887,38,Melbourne (CBD),102174,restaurant
Lanes Edge Cafe,144.9720472,-37.81193572,48,Melbourne (CBD),101109,restaurant
Ganache Chocolate Lounge,144.9658313,-37.81606673,25,Melbourne (CBD),102081,restaurant
Teppanyaki Inn,144.9674537,-37.81479918,36,Melbourne (CBD),102149,restaurant
George Street Cafe,144.9881843,-37.81575788,606,East Melbourne,104242,restaurant
B Churrasco,144.961749,-37.80919305,95,Melbourne (CBD),500333,restaurant
Crown Entertainment Complex,144.9586604,-37.82312164,803,Southbank,111175,restaurant
Mapo Grill & Bar ,144.9555653,-37.81329521,72,Melbourne (CBD),106023,restaurant
Captain Melville ,144.9616126,-37.80752292,115,Melbourne (CBD),104103,restaurant
V R Thai,144.9645323,-37.81445406,45,Melbourne (CBD),101142,restaurant
Don Tojo,144.9656265,-37.80132569,246,Carlton,101693,restaurant
Gelatoria On the Docks,144.9378299,-37.81315031,1110,Docklands,620314,restaurant
Mr Piccolo Kitchen and Bar,144.9292429,-37.79454041,524,Kensington,106323,restaurant
Workshop,144.9605226,-37.80918797,104,Melbourne (CBD),103219,restaurant
Gazi,144.9727209,-37.81546181,18,Melbourne (CBD),111071,restaurant
369 Chinese Restaurant,144.9699123,-37.81128986,57,Melbourne (CBD),103601,restaurant
Famish'd,144.9578132,-37.81636534,42,Melbourne (CBD),110095,restaurant
Shuji Sushi,144.9501914,-37.79382016,931,Parkville,103908,restaurant
KFC Carlton,144.9636423,-37.8006201,243,Carlton,109330,restaurant
Coffee Exchange,144.9731836,-37.81260039,38,Melbourne (CBD),108982,restaurant
Oko Oko,144.9642823,-37.80131908,245,Carlton,109365,restaurant
One Star Coffee Lounge,144.9513664,-37.80562951,424,West Melbourne (Residential),109706,restaurant
Mad Mex,144.9523393,-37.81815358,1101,Docklands,108973,restaurant
Broadcast Cafe,144.9458827,-37.81566514,1103,Docklands,589575,restaurant
Wood N Chimney,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Shuji Sushi,144.9798191,-37.8455379,724,Melbourne (Remainder),108646,restaurant
St Ann's On Rathdowne Street,144.9703208,-37.79692164,215,Carlton,108197,restaurant
Red Love Bar Musicroom,144.963217,-37.80904283,95,Melbourne (CBD),109314,restaurant
Roll'd Southen Cross Lane,144.9701092,-37.81281453,47,Melbourne (CBD),625840,restaurant
Klik Cafe ,144.9604349,-37.81010387,94,Melbourne (CBD),105484,restaurant
Simmer Pronto ,144.9492736,-37.81999404,1105,Docklands,598590,restaurant
Hash Specialty Coffee And Roasters,144.9605306,-37.81240787,74,Melbourne (CBD),105738,restaurant
Level Seven Cafe,144.9626932,-37.80826292,105,Melbourne (CBD),109318,restaurant
Captain Melville ,144.9616126,-37.80752292,115,Melbourne (CBD),104103,restaurant
Cafe Issus,144.9655966,-37.8166033,25,Melbourne (CBD),101789,restaurant
Centro Espresso,144.9682264,-37.82094188,752,Southbank,108653,restaurant
Roller Door Cafe,144.9421307,-37.80592001,409,West Melbourne (Residential),100440,restaurant
V R Thai,144.9645323,-37.81445406,45,Melbourne (CBD),101142,restaurant
The Pavilion,144.9804557,-37.81296163,619,East Melbourne,111456,restaurant
The Harbour Kitchen,144.9451224,-37.81888389,1108,Docklands,573414,restaurant
Nam Loong Restaurant,144.9671667,-37.81140869,66,Melbourne (CBD),108552,restaurant
Copperwood ,144.9676,-37.79962339,218,Carlton,106210,restaurant
Crintis Southbank,144.962154,-37.82167834,802,Southbank,575820,restaurant
Sosta Cucina,144.9495689,-37.80483255,354,North Melbourne,103525,restaurant
Nando's,144.9556037,-37.80606639,435,West Melbourne (Residential),109682,restaurant
Tea House At Chinatown,144.9689152,-37.81104301,67,Melbourne (CBD),102047,restaurant
Urban Central Accomodation / bar334,144.9573539,-37.82783816,730,Southbank,110401,restaurant
Supergrind Cafe,144.9718354,-37.80990475,68,Melbourne (CBD),108990,restaurant
E Dumpling,144.9647653,-37.79899938,205,Carlton,573290,restaurant
Queens Cafe,144.9642948,-37.80444614,255,Carlton,111305,restaurant
Colonial Hotel / Brown Alley Night Club,144.9552166,-37.81459098,62,Melbourne (CBD),105379,restaurant
Igloo Cafe & St Moritz Bar,144.9356321,-37.81223232,1110,Docklands,593739,restaurant
Famous Hotpot & BBQ,144.9691026,-37.8115616,57,Melbourne (CBD),105835,restaurant
Jin Dumpling And Noodle House,144.96713,-37.8118553,66,Melbourne (CBD),105890,restaurant
Yoyogi Japanese Cafe,144.9650158,-37.81284647,55,Melbourne (CBD),109286,restaurant
Castro's Kiosk,144.9612468,-37.79739836,270,Parkville,664633,restaurant
Trotters Restaurant,144.9677565,-37.79763393,217,Carlton,106189,restaurant
Gue on Brights Place,144.955573,-37.81290439,82,Melbourne (CBD),106031,restaurant
Lanai Restaurant & Bar,144.9606367,-37.81581152,43,Melbourne (CBD),108068,restaurant
Beer De Luxe,144.9699175,-37.81784465,6,Melbourne (CBD),578321,restaurant
Gemma Simple Italian,144.9683841,-37.79752965,217,Carlton,511124,restaurant
Refs Cafe,144.9484238,-37.79508314,353,North Melbourne,103842,restaurant
Soi 38,144.9719189,-37.81246632,48,Melbourne (CBD),105969,restaurant
Le Petit Gateau,144.9595925,-37.81587957,43,Melbourne (CBD),101154,restaurant
Zouki Cafe Eye & Ear Hospital,144.9762558,-37.80899054,645,East Melbourne,109667,restaurant
Kinfolk Cafe,144.9541004,-37.81721781,41,Melbourne (CBD),101165,restaurant
8 On Miles,144.9679695,-37.82843322,742,Southbank,111297,restaurant
La Belle Miette,144.9617562,-37.81416355,54,Melbourne (CBD),101187,restaurant
Sushi Sushi ,144.9657034,-37.810658,76,Melbourne (CBD),589841,restaurant
Roll'D,144.9627888,-37.81722704,24,Melbourne (CBD),102091,restaurant
Joy Cupcakes,144.9701092,-37.81281453,47,Melbourne (CBD),602997,restaurant
Kenny's Bakery Cafe,144.9707149,-37.81005686,68,Melbourne (CBD),105672,restaurant
"The Attic, Artisan Bread And Cafe",144.9561073,-37.81571393,52,Melbourne (CBD),101172,restaurant
Earl Canteen,144.975942,-37.83587066,710,Melbourne (Remainder),108622,restaurant
Schnitz Melbourne Central,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Sool Tong,144.9599073,-37.81386746,63,Melbourne (CBD),108076,restaurant
Izakya Hachibeh,144.9690422,-37.81278439,47,Melbourne (CBD),101120,restaurant
Invita,144.9572395,-37.80745984,113,Melbourne (CBD),110696,restaurant
Masala Grill,144.9581001,-37.81936891,12,Melbourne (CBD),103955,restaurant
Kagawa Japanese Cafe,144.947217,-37.81817241,1103,Docklands,599505,restaurant
Briscola Espresso,144.9612607,-37.80241321,257,Carlton,525991,restaurant
Avist Cafe ,144.9527053,-37.79844295,378,North Melbourne,103824,restaurant
8 Beans Cafe,144.9525725,-37.80739774,432,West Melbourne (Residential),108443,restaurant
No1 Steam Boat,144.9656386,-37.80673947,266,Carlton,106076,restaurant
Wild Timor Coffee Carlton Pty Ltd,144.9652584,-37.7987209,205,Carlton,512713,restaurant
La Belle Miette,144.9732575,-37.81314231,38,Melbourne (CBD),102172,restaurant
Books N Bites Cafe,144.9583287,-37.80169537,239,Carlton,107548,restaurant
Kimchi Tray,144.9643537,-37.81807489,14,Melbourne (CBD),104008,restaurant
In a Rush,144.9793624,-37.8441033,760,Melbourne (Remainder),108644,restaurant
Dock 37 Bar & Kitchen,144.9523782,-37.82539976,804,Southbank,623559,restaurant
Koji Sushi,144.9457644,-37.82205739,1108,Docklands,611367,restaurant
Zoom Organic ,144.9707325,-37.8091842,78,Melbourne (CBD),603923,restaurant
Dumpling Dynasty,144.9523782,-37.82539976,804,Southbank,110542,restaurant
Hungry Jack's,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Melbourne Vietnam Noodle House,144.9446836,-37.81993681,1108,Docklands,611366,restaurant
Mesh/Tonic Bar,144.9597768,-37.8238538,807,Southbank,108054,restaurant
Il Vicolo,144.96788,-37.80059699,218,Carlton,104477,restaurant
Gloria Jean's Coffees Harbour Town,144.9378299,-37.81315031,1110,Docklands,620308,restaurant
Epicure Kitchen Cafe,144.9802844,-37.84659007,724,Melbourne (Remainder),108649,restaurant
Headquarters Tavern,144.9127653,-37.78908156,570,Kensington,108810,restaurant
Basement Espresso,144.9778946,-37.80895362,646,East Melbourne,109660,restaurant
The Shaw Davey Slum,144.9687079,-37.79750574,217,Carlton,103102,restaurant
Chocolate Bar New York,144.9638386,-37.81245199,65,Melbourne (CBD),105698,restaurant
Altius Coffee Brewers,144.9566017,-37.81988484,11,Melbourne (CBD),103957,restaurant
DOC Espresso,144.9674735,-37.79932164,218,Carlton,106206,restaurant
O-Bento,144.9467679,-37.81384049,1102,Docklands,631646,restaurant
South Melbourne Dim Sims,144.9572395,-37.80745984,113,Melbourne (CBD),110679,restaurant
Starbucks,144.9674304,-37.81584777,26,Melbourne (CBD),109418,restaurant
Allegro Restaurant,144.9674304,-37.81584777,26,Melbourne (CBD),109418,restaurant
Causeway 353 Hotel,144.9629844,-37.81570426,34,Melbourne (CBD),110669,restaurant
Charltons Entertainment Complex / Roxanne Bar,144.9685359,-37.81206119,57,Melbourne (CBD),101212,restaurant
University Hotel,144.9672432,-37.8005263,218,Carlton,106222,restaurant
Il Duca Restaurant,144.9855915,-37.81618515,607,East Melbourne,109997,restaurant
Hungry Jack's Pty Ltd,144.9668342,-37.81709702,15,Melbourne (CBD),109260,restaurant
Sabre Cafe,144.9063359,-37.82797655,790,Port Melbourne,589462,restaurant
Pacific BBQ Cafe ,144.9661427,-37.81144245,66,Melbourne (CBD),105692,restaurant
Black Velvet Espresso ,144.9711075,-37.81240259,48,Melbourne (CBD),103623,restaurant
Izakaya Den,144.9689753,-37.81350285,47,Melbourne (CBD),108591,restaurant
Seamstress,144.9690111,-37.81056538,67,Melbourne (CBD),105675,restaurant
Heavy D's Cafe & Sanwich Bar,144.9458305,-37.821044,1108,Docklands,613252,restaurant
65 Degrees ,144.9687244,-37.80874125,87,Melbourne (CBD),103613,restaurant
Plus 5,144.9503336,-37.82409303,804,Southbank,110988,restaurant
Halyard Coffee,144.947217,-37.81817241,1103,Docklands,599505,restaurant
Dikstein's Corner Bar,144.9603413,-37.81631094,33,Melbourne (CBD),105936,restaurant
Taxi Riverside,144.9699175,-37.81784465,6,Melbourne (CBD),578325,restaurant
Billi Green's,144.9589237,-37.81817724,22,Melbourne (CBD),110665,restaurant
Federal Coffee Palace,144.9632879,-37.81360425,55,Melbourne (CBD),101193,restaurant
Subway,144.9583432,-37.82559096,806,Southbank,110343,restaurant
Junie Moon's,144.9485541,-37.80875296,430,West Melbourne (Residential),108866,restaurant
Subway,144.9603119,-37.8169991,33,Melbourne (CBD),102126,restaurant
Lindt Chocolate Cafe,144.9662623,-37.82066923,753,Southbank,110606,restaurant
Hudson's Coffee,144.9553253,-37.81622847,51,Melbourne (CBD),101171,restaurant
Sakura Kaiten Sushi II,144.9639969,-37.81152964,85,Melbourne (CBD),105747,restaurant
NL House,144.9656841,-37.80080712,246,Carlton,559024,restaurant
Espresso Extraction,144.9855915,-37.81618515,607,East Melbourne,109997,restaurant
J&K  Cafe,144.9800592,-37.84607473,724,Melbourne (Remainder),108647,restaurant
Cargo Cafe & Bar,144.9414051,-37.8153411,1109,Docklands,573925,restaurant
San Churro,144.9378299,-37.81315031,1110,Docklands,620312,restaurant
Cafe Box,144.9679684,-37.81310923,46,Melbourne (CBD),101127,restaurant
Cecconi's Flinders Lane,144.9725123,-37.81506474,18,Melbourne (CBD),103918,restaurant
Creole Kitchen Lobby,144.9713867,-37.80988424,68,Melbourne (CBD),105669,restaurant
Shark Fin House,144.9688573,-37.81199769,57,Melbourne (CBD),101213,restaurant
Blok M Express,144.9613283,-37.81354346,64,Melbourne (CBD),105870,restaurant
Hokuto Japanese Cafe,144.9634198,-37.80945732,95,Melbourne (CBD),109312,restaurant
Switchboard Cafe,144.9661258,-37.81528474,35,Melbourne (CBD),109267,restaurant
Miss Chu,144.9688284,-37.80893166,87,Melbourne (CBD),103610,restaurant
Signature Pho Viet,144.9523782,-37.82539976,804,Southbank,110542,restaurant
Pickett's Deli & Rotisserie,144.9572395,-37.80745984,113,Melbourne (CBD),110690,restaurant
Cafe Baci's,144.9586604,-37.82312164,803,Southbank,111175,restaurant
Riva Cafe Bar,144.9645323,-37.81445406,45,Melbourne (CBD),101142,restaurant
Man Mo @ Wtc,144.9536422,-37.82253633,131,Docklands,103978,restaurant
Calrton Pizzeria Bar and Restaurant,144.9711231,-37.79553609,226,Carlton,108236,restaurant
Petaling Street Malaysian Hawker Food,144.966942,-37.81186912,66,Melbourne (CBD),105889,restaurant
CY Sushi & Noodle,144.9599508,-37.80794087,114,Melbourne (CBD),511518,restaurant
Cafe Clicquot,144.9662961,-37.83070462,746,Southbank,110438,restaurant
Kim Sing Chinese Restaurant,144.9665517,-37.81724878,15,Melbourne (CBD),104014,restaurant
Ibis Styles Kingsgate Hotel ,144.9555039,-37.81708323,41,Melbourne (CBD),105299,restaurant
Wonderbao,144.9626101,-37.80894099,95,Melbourne (CBD),500323,restaurant
Macchiato On Collins,144.959442,-37.81730302,33,Melbourne (CBD),102123,restaurant
Asuka Sushi,144.9502584,-37.81864992,1105,Docklands,578096,restaurant
Chatime,144.9661258,-37.81528474,35,Melbourne (CBD),109267,restaurant
Creole Kitchen Lobby,144.9713867,-37.80988424,68,Melbourne (CBD),105669,restaurant
New Kum Den Chinese Restaurant,144.9669911,-37.81162502,66,Melbourne (CBD),109952,restaurant
Black Cod,144.9451224,-37.81888389,1108,Docklands,573414,restaurant
Errol's Cafe,144.9490835,-37.80345572,345,North Melbourne,103415,restaurant
Peddler Tuck Shop CBD ,144.9564217,-37.81365662,72,Melbourne (CBD),105727,restaurant
Little Bean Dockside,144.9445328,-37.82092961,1108,Docklands,632510,restaurant
Schnitz,144.9626049,-37.81366344,54,Melbourne (CBD),103183,restaurant
Food Inc.,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Doc Pizza & Mozarella Bar,144.9684438,-37.7989855,218,Carlton,102685,restaurant
Shamble Coffee Brewers,144.9606374,-37.81622852,33,Melbourne (CBD),105932,restaurant
Urban Express,144.9687553,-37.81543178,26,Melbourne (CBD),102073,restaurant
The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic,144.9586604,-37.82312164,803,Southbank,111175,restaurant
Shinsei Fish & Sushi Bar ,144.9434599,-37.82044558,1108,Docklands,609480,restaurant
STREAT,144.9617411,-37.81560573,44,Melbourne (CBD),105956,restaurant
Bela Bistro,144.9487134,-37.80271962,346,North Melbourne,107987,restaurant
Epocha Restaurant,144.9685944,-37.80578725,268,Carlton,108154,restaurant
The Basement Cafe,144.9592776,-37.81067976,94,Melbourne (CBD),105481,restaurant
Rose Garden Barbecue Shop,144.9603439,-37.80885861,104,Melbourne (CBD),103225,restaurant
By Korea ,144.9628763,-37.80962882,95,Melbourne (CBD),105486,restaurant
Sake Restaurant and Bar,144.9705132,-37.81567009,17,Melbourne (CBD),103925,restaurant
Cafe 555,144.9528962,-37.81327283,81,Melbourne (CBD),561680,restaurant
Panini Bar,144.9709029,-37.812234,48,Melbourne (CBD),101117,restaurant
The Comics Lounge,144.949918,-37.80459297,354,North Melbourne,103523,restaurant
CoF.E.Fix,144.9612988,-37.81565401,44,Melbourne (CBD),108111,restaurant
The Blind Tiger / Speakeasy HQ,144.9568837,-37.82024346,11,Melbourne (CBD),103991,restaurant
Dan O'Connell Hotel,144.9733817,-37.79303229,228,Carlton,101450,restaurant
Degani Bakery Cafe,144.9501914,-37.79382016,931,Parkville,103908,restaurant
Bela Bistro,144.9487134,-37.80271962,346,North Melbourne,107987,restaurant
Fish Bar,144.9427543,-37.81473601,1109,Docklands,578357,restaurant
Thai City Restaurant,144.9666993,-37.80443778,252,Carlton,111060,restaurant
Woochon,144.9611344,-37.81200936,74,Melbourne (CBD),105741,restaurant
Tank Fish And Chippery ,144.9661179,-37.80366248,254,Carlton,106096,restaurant
Assembly Store,144.9672927,-37.80262373,247,Carlton,107557,restaurant
Mike's Mediterranean,144.9657034,-37.810658,76,Melbourne (CBD),589841,restaurant
Toto's Pizza,144.9659744,-37.80449163,254,Carlton,106084,restaurant
Ying Thai 2,144.9666993,-37.80443778,252,Carlton,111066,restaurant
Cafe Perri & Perri Cine Video and Photography,144.9581215,-37.80434979,362,North Melbourne,103248,restaurant
Cafe Fillings,144.9634142,-37.80087264,243,Carlton,109329,restaurant
Ocean View Cafe Port Melbourne,144.9052161,-37.82483593,785,Port Melbourne,110535,restaurant
Dosa Corner,144.9553253,-37.81622847,51,Melbourne (CBD),101171,restaurant
Healthy Sushi Melbourne,144.9632938,-37.81554941,34,Melbourne (CBD),105929,restaurant
Hudsons Elizabeth Street,144.9641934,-37.81591326,35,Melbourne (CBD),103325,restaurant
The Moat Bar & Cafe,144.965306,-37.80976881,86,Melbourne (CBD),109388,restaurant
Cafe Victoria,144.9572395,-37.80745984,113,Melbourne (CBD),110690,restaurant
The Mill House Bar,144.9652979,-37.81724201,15,Melbourne (CBD),103944,restaurant
Bros Sushi,144.9699756,-37.80941489,78,Melbourne (CBD),103618,restaurant
Gourmet Pizza Bar,144.9856254,-37.81004657,613,East Melbourne,593697,restaurant
